# id     a        da       e        de      i       di     Om     dOm    w      dw    Tp        dTp     P        dP  Kmag    R    dR    ref    q       dq
S1     0.595    0.024    0.556    0.018    119.14  0.21  342.04  0.32  122.3   1.4   2001.80   0.15  166.0     5.8  14.7   8.32  0.07    1      -1  0.000708
S2     0.125072 0.000084 0.884282 0.000064 133.911 0.052 228.067 0.041  66.250 0.035 2018.3790 0.0014 16.05    0.01 13.95  8.179 0.013   2      -1  0.000012
S4     0.3570   0.0037   0.3905   0.0059    80.33  0.08  258.84  0.07  290.8   1.5   1957.4    1.2    77.0     1.0  14.4   8.32  0.07    1      -1  0.003047
S6     0.6574   0.0006   0.8400   0.0003    87.24  0.06   85.07  0.12  116.23  0.07  2108.61   0.03  192.0     0.17 15.4   8.32  0.07    1      -1  0.000516
S8     0.4047   0.0014   0.8031   0.0075    74.37  0.30  315.43  0.19  346.70  0.41  1983.64   0.24   92.9     0.41 14.5   8.32  0.07    1      -1  0.002746
S9     0.2724   0.0041   0.644    0.020     82.41  0.24  156.60  0.10  150.6   1.0   1976.71   0.92   51.3     0.70 15.1   8.32  0.07    1      -1  0.004505
S12    0.2987   0.0018   0.8883   0.0017    33.56  0.49  230.1   1.8   317.9   1.5   1995.59   0.04   58.9     0.22 15.5   8.32  0.07    1      -1  0.000235
S13    0.2641   0.0016   0.4250   0.0023    24.70  0.48   74.5   1.7   245.2   2.4   2004.86   0.04   49.00    0.14 15.8   8.32  0.07    1      -1  0.000162
S14    0.2863   0.0036   0.9761   0.0037   100.59  0.87  226.38  0.64  334.59  0.87  2000.12   0.06   55.3     0.48 15.7   8.32  0.07    1      -1  0.000466
S17    0.3559   0.0096   0.397    0.011     96.83  0.11  191.62  0.21  326.0   1.9   1991.19   0.41   76.6     1.0  15.3   8.32  0.07    1      -1  0.001971
S18    0.2379   0.0015   0.471    0.012    110.67  0.18   49.11  0.18  349.46  0.66  1993.86   0.16   41.9     0.18 16.7   8.32  0.07    1      -1  0.000426
S19    0.520    0.094    0.750    0.043     71.96  0.35  344.60  0.62  155.2   2.3   2005.39   0.16  135.     14.   16.0   8.32  0.07    1      -1  0.000510
S21    0.2190   0.0017   0.764    0.014     58.8   1.0   259.64  0.62  166.4   1.1   2027.40   0.17   37.00    0.28 16.9   8.32  0.07    1      -1  0.000437
S22    1.31     0.28     0.449    0.088    105.76  0.95  291.7   1.4    95.   20.    1996.9   10.2   540.     63.   16.6   8.32  0.07    1      -1  0.000291
S23    0.253    0.012    0.56     0.14      48.0   7.1   249.   13.     39.0   6.7   2024.7    3.7    45.8     1.6  17.8   8.32  0.07    1      -1  0.000085
S24    0.944    0.048    0.8970   0.0049   103.67  0.42    7.93  0.37  290.   15.    2024.50   0.03  331.     16.   15.6   8.32  0.07    1      -1  0.003763
S29    0.428    0.019    0.728    0.052    105.8   1.7   161.96  0.80  346.5   5.9   2025.96   0.94  101.0     2.0  16.7   8.32  0.07    1      -1  0.008240
S31    0.449    0.010    0.5497   0.0025   109.03  0.27  137.16  0.30  308.0   3.0   2018.07   0.14  108.      1.2  15.7   8.32  0.07    1      -1  0.001758
S33    0.657    0.026    0.608    0.064     60.5   2.5   100.1   5.5   303.7   1.6   1928.    12.    192.0     5.2  16.0   8.32  0.07    1      -1  0.021962
S38    0.1416   0.0002   0.8201   0.0007   171.1   2.1   101.06  0.24   17.99  0.25  2003.19   0.01   19.2     0.02 17.0   8.32  0.07    1      -1  0.000175
S39    0.370    0.015    0.9236   0.0021    89.36  0.73  159.03  0.10   23.3   3.8   2000.06   0.06   81.1     1.5  16.8   8.32  0.07    1      -1  0.000397
S42    0.95     0.18     0.567    0.083     67.16  0.66  196.14  0.75   35.8   3.2   2008.24   0.75  335.     58.   17.5   8.32  0.07    1      -1  0.002959
S54    1.20     0.87     0.893    0.078     62.2   1.4   288.35  0.70  140.8   2.3   2004.46   0.07  477.    199.   17.5   8.32  0.07    1      -1  0.000112
S55    0.1078   0.0010   0.7209   0.0077   150.1   2.2   325.5   4.0   331.5   3.9   2009.34   0.04   12.80    0.11 17.5   8.32  0.07    1      -1  0.000495
S60    0.3877   0.0070   0.7179   0.0051   126.87  0.30  170.54  0.85   29.37  0.29  2023.89   0.09   87.1     1.4  16.3   8.32  0.07    1      -1  0.000106
S62    0.09053  0.00005  0.976    0.002     72.76  4.58  122.61  0.57   42.62  0.4   2003.33   0.01    9.9     0.02 16.1   8.175 0.013   3   0.002  0.00018
S66    1.502    0.095    0.128    0.043    128.5   1.6    92.3   3.2   134.   17.    1771.    38.    664.     37.   14.8   8.32  0.07    1      -1  0.075833
S67    1.126    0.026    0.293    0.057    136.0   1.1    96.5   6.4   213.5   1.6   1705.    22.    431.     10.   12.1   8.32  0.07    1      -1  0.044076
S71    0.973    0.040    0.899    0.013     74.0   1.3    35.16  0.86  337.8   4.9   1695.    21.    346.     11.   16.1   8.32  0.07    1      -1  0.000067
S83    1.49     0.19     0.365    0.075    127.2   1.4    87.7   1.2   203.6   6.0   2046.8    6.3   656.     69.   13.6   8.32  0.07    1      -1  0.002304
S85    4.6      3.30     0.78     0.15      84.78  0.29  107.36  0.43  156.3   6.8   1930.2    9.8  3580.   2550.   15.6   8.32  0.07    1      -1  0.003248
S87    2.74     0.16     0.224    0.027    119.54  0.87  106.32  0.99  336.1   7.7    611.   154.   1640.    105.   13.6   8.32  0.07    1      -1  0.314551
S89    1.081    0.055    0.639    0.038     87.61  0.16  238.99  0.18  126.4   4.0   1783.    26.    406.     27.   15.3   8.32  0.07    1      -1  0.049787
S91    1.917    0.089    0.303    0.034    114.49  0.32  105.35  0.74  356.4   1.6   1108.    69.    958.     50.   12.2   8.32  0.07    1      -1  0.008858
S96    1.499    0.057    0.174    0.022    126.36  0.96  115.66  0.59  233.6   2.4   1646.    16.    662.     29.   10.0   8.32  0.07    1      -1  0.064771
S97    2.32     0.46     0.35     0.11     113.0   1.3   113.2   1.4    28.   14.    2132.    29.   1270.    309.   10.3   8.32  0.07    1      -1  0.037322
S145   1.12     0.18     0.50     0.25      83.7   1.6   263.92  0.94  185.   16.    1808.    58.    426.     71.   17.5   8.32  0.07    1      -1  0.179879
S175   0.414    0.039    0.9867   0.0018    88.53  0.60  326.83  0.78   68.52  0.40  2009.51   0.01   96.2     5.0  17.5   8.32  0.07    1      -1  0.000101
